2025-09-12 18:51:49 status half-configured libgcc-12-dev:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status unpacked libgcc-12-dev:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status half-installed libgcc-12-dev:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status unpacked libgcc-12-dev:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:49 upgrade gcc-12:amd64 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:49 status half-configured gcc-12:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status unpacked gcc-12:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status half-installed gcc-12:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status triggers-pending man-db:amd64 2.10.2-1
2025-09-12 18:51:49 status unpacked gcc-12:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:49 upgrade cpp-12:amd64 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:49 status half-configured cpp-12:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status unpacked cpp-12:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status half-installed cpp-12:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:50 status unpacked cpp-12:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 upgrade libgfortran5:amd64 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status half-configured libgfortran5:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:50 status unpacked libgfortran5:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:50 status half-installed libgfortran5:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:50 status unpacked libgfortran5:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 upgrade libgcc-s1:amd64 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status half-configured libgcc-s1:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:50 status unpacked libgcc-s1:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:50 status half-configured libgcc-s1:i386 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:50 status half-installed libgcc-s1:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:50 status unpacked libgcc-s1:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 upgrade libgcc-s1:i386 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status unpacked libgcc-s1:i386 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:50 status half-installed libgcc-s1:i386 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:50 status unpacked libgcc-s1:i386 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 startup packages configure
2025-09-12 18:51:50 configure gcc-12-base:amd64 12.3.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:50 status unpacked gcc-12-base:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status half-configured gcc-12-base:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status installed gcc-12-base:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 configure gcc-12-base:i386 12.3.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:50 status unpacked gcc-12-base:i386 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status half-configured gcc-12-base:i386 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status installed gcc-12-base:i386 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 configure libquadmath0:amd64 12.3.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:50 status unpacked libquadmath0:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status half-configured libquadmath0:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status installed libquadmath0:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 configure libatomic1:amd64 12.3.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:50 status unpacked libatomic1:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status half-configured libatomic1:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status installed libatomic1:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 configure libatomic1:i386 12.3.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:50 status unpacked libatomic1:i386 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status half-configured libatomic1:i386 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status installed libatomic1:i386 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 configure libitm1:amd64 12.3.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:50 status unpacked libitm1:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status half-configured libitm1:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status installed libitm1:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 configure cpp-12:amd64 12.3.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:50 status unpacked cpp-12:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status half-configured cpp-12:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status installed cpp-12:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 configure libgomp1:amd64 12.3.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:50 status unpacked libgomp1:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status half-configured libgomp1:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status installed libgomp1:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 configure libgcc-s1:amd64 12.3.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:50 status unpacked libgcc-s1:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status half-configured libgcc-s1:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status installed libgcc-s1:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 configure libgcc-s1:i386 12.3.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:50 status unpacked libgcc-s1:i386 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status half-configured libgcc-s1:i386 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status installed libgcc-s1:i386 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 configure libgfortran5:amd64 12.3.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:50 status unpacked libgfortran5:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status half-configured libgfortran5:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status installed libgfortran5:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 configure libasan8:amd64 12.3.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:50 status unpacked libasan8:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status half-configured libasan8:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status installed libasan8:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 configure libtsan2:amd64 12.3.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:50 status unpacked libtsan2:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status half-configured libtsan2:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 status installed libtsan2:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:50 configure libstdc++6:amd64 12.3.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:50 status unpacked libstdc++6:amd64 12.3.0-1ubuntu1~22.04.2
